Дата,Нед,Тип юнита,Рубрика/Кластер,Формат,Сегмент,Тема,Хук / Содержание,Структура (атом),CTA,Статус
2026-08-14,4,Карусель,РОСТ,ДО/ПОСЛЕ,Разочарованный,Одна и та же реклама: минус и плюс,Бюджет тот же. Результат другой. Что поменяли?,"С2: ДО: клики на главную, форма в подвале  |  С3: Меняем: лендинг под оффер + квиз  |  С4: ПОСЛЕ: заявка дешевле, обработка за 30 сек  |  С5: Модельный расчёт до/после (не кейс) | Слайд 6: Разбор твоей связки в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Разбор твоей связки в боте,
2026-08-17,5,Карусель,СЛИВ,МИФОБОРЕЦ,Разочарованный,Красивый отчёт агентства = дымовая завеса,Охваты растут. Касса молчит. Знакомый отчёт?,"С2: 39% смотрят на охваты, не на продажи (NMi)  |  С3: Охват без заявки = слайд для галочки  |  С4: 3 вопроса агентству: заявки, цена, продажи  |  С5: Отчёт собственника: 3 цифры, не 30 | Слайд 6: Шаблон отчёта в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон отчёта в боте,
2026-08-19,5,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Хаотик,Какие 3 цифры смотреть каждую неделю,Всего 3 цифры отделяют тебя от контроля над маркетингом.,"С2: Цифра 1: заявки по каналам  |  С3: Цифра 2: цена заявки  |  С4: Цифра 3: конверсия в оплату  |  С5: Где брать без сложной аналитики | Слайд 6: Шаблон отчёта собственника | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон отчёта собственника,
2026-08-21,5,Карусель,РОСТ,ИСТОРИЯ,Масштабатор,"День, когда собственник увидел цифры",Он тратил 300К в месяц. И не видел ни одной цифры.,"С2: Отчёты были: 30 страниц тумана  |  С3: Свели в 1 экран: продажи, заявки, реклама  |  С4: Нашли канал, работавший в минус год  |  С5: Экран собственника: 30 секунд в день | Слайд 6: Пульс: аналитика за 3 дня | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Пульс: аналитика за 3 дня,
2026-08-24,6,Карусель,ДЫРЫ,ТАЙМЛАЙН,Хаотик,День собственника: где утекают деньги,09:00. Ты уже потерял 12 000 рублей.,"С2: 09-11: ручной разбор заявок в 3 мессенджерах  |  С3: 13:00: забыл перезвонить, лид ушёл  |  С4: 16:00: отчёт в Excel, непонятно ничего  |  С5: AI закрывает 70% этой рутины | Слайд 6: Шаблон AI-рутины | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон AI-рутины,
2026-08-26,6,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Новичок,Что отдать AI первым: 4 задачи,AI-хайп всюду. Что реально работает у малого бизнеса?,"С2: 1: ответы на типовые вопросы (бот)  |  С3: 2: напоминания и дожим (CRM)  |  С4: 3: тексты и креативы (черновики)  |  С5: НЕ отдавать: стратегию и цены | Слайд 6: Шаблон AI-рутины в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон AI-рутины в боте,
2026-08-28,6,Карусель,РОСТ,ПЕРЕВЁРНУТЫЙ,Масштабатор,Automation rate 73%: бот вместо ночной смены,Бот сам отвечает на 7 из 10 заявок. Ночью. За 8К в месяц.,"С2: Это малый бизнес, не корпорация  |  С3: Что делает: отвечает, записывает, шлёт КП  |  С4: Страх «AI заменит людей»: люди ушли на сложные сделки  |  С5: Стек: конструктор + GigaChat, без кода | Слайд 6: Шаблон бота в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон бота в боте,
2026-08-31,7,Карусель,ДЫРЫ,ШОКЕР,Все,"Штраф 15 млн за то, что ты делаешь каждый день",15 000 000 рублей. За таблицу с телефонами клиентов.,"С2: ПД = имя + телефон. Почти всё  |  С3: Клиентская база в ChatGPT = нарушение  |  С4: Штрафы юрлицам до 15 млн (152-ФЗ)  |  С5: Решение: российские AI для ПД + 10 шагов | Слайд 6: Чек-лист 152-ФЗ | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Чек-лист 152-ФЗ,
2026-09-02,7,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Все,Какие AI можно использовать с базой клиентов,В какой AI нельзя загружать клиентскую базу? Спойлер: почти во все.,"С2: В: ChatGPT для писем клиентам? О: без ПД  |  С3: В: что можно? О: GigaChat/YandexGPT для ПД  |  С4: В: согласие клиента? О: обязательно, шаблон есть  |  С5: В: с чего начать? О: аудит того, где лежит база | Слайд 6: Чек-лист 152-ФЗ в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Чек-лист 152-ФЗ в боте,
2026-09-04,7,Карусель,СЛИВ,ИСТОРИЯ,Разочарованный,Как утечка базы убивает доверие,База клиентов гуляла по 4 личным телефонам менеджеров.,"С2: Менеджер ушёл, база ушла с ним  |  С3: Клиенты получили спам от конкурента  |  С4: Восстановить доверие дороже, чем защитить  |  С5: Порядок: 1 хранилище, роли, согласия | Слайд 6: Чек-лист 152-ФЗ | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Чек-лист 152-ФЗ,
2026-09-07,8,Карусель,СЛИВ,КАЛЬКУЛЯТОР,Хаотик,Математика демпинга: -20% цены = -50% прибыли,Скинул 20% цены. Потерял 50% прибыли. Посчитаем?,"С2: Маржа 40%: скидка 20% режет прибыль вдвое  |  С3: Чтобы выйти в ноль - в 2 раза больше клиентов  |  С4: Дешёвые клиенты: больше возвратов, ноль лояльности  |  С5: Альтернатива: пакет ценности вместо скидки | Слайд 6: Калькулятор скидки в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Калькулятор скидки в боте,
2026-09-09,8,Карусель,ФОРМУЛА,ДО/ПОСЛЕ,Новичок,Поднять чек без потери клиентов,Меньше клиентов. Больше денег. Это не парадокс.,"С2: ДО: услуга 3 000, очередь и усталость  |  С3: Пересборка: пакет с результатом за 8 000  |  С4: ПОСЛЕ: клиентов меньше, выручка выше (модель)  |  С5: Лестница: базовый / стандарт / премиум | Слайд 6: Шаблон пакетирования | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон пакетирования,
2026-09-11,8,Карусель,ДЫРЫ,МИФОБОРЕЦ,Разочарованный,«Клиенты уходят из-за цены» - правда?,"Думаешь, клиенты уходят из-за цены? Чаще всего нет [ГИПОТЕЗА]","С2: Уходят из-за: не перезвонили  |  С3: Из-за: непонятно, за что платить  |  С4: Из-за: конкурент ответил быстрее  |  С5: Цена - последнее, что чинят первым | Слайд 6: AI-аудит: почему уходят у тебя | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",AI-аудит: почему уходят у тебя,
2026-09-14,9,Карусель,ДЫРЫ,ШОКЕР,Хаотик,Твоя база - кладбище денег,В твоём телефоне лежит выручка квартала. Мёртвым грузом.,"С2: LTV считают 33% компаний РФ vs 93% UK  |  С3: Продать старому дешевле, чем найти нового  |  С4: 76-86% баз лежат в Excel и WhatsApp  |  С5: Реанимация: сегменты + честный повод вернуться | Слайд 6: Шаблон реанимации базы | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон реанимации базы,
2026-09-16,9,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Хаотик,Как вернуть уснувших клиентов без спама,«Мы вас потеряли» не работает. Что работает?,"С2: Повод: новинка/сезон/личная дата  |  С3: Сегмент: кто, что и когда покупал  |  С4: Канал: там, где клиент уже писал вам  |  С5: 3 касания, не 10 | Слайд 6: Серия сообщений: шаблон в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Серия сообщений: шаблон в боте,
2026-09-18,9,Карусель,РОСТ,ИСТОРИЯ,Беженец,Первая рассылка по своей базе,2 000 контактов из заказов. Одна рассылка. Что вышло?,"С2: Селлер собрал контакты из заказов (легально)  |  С3: Сегментировал на 3 группы  |  С4: Честный повод: пополнение + бонус повторным  |  С5: Модельная механика, цифры зависят от базы | Слайд 6: Дорожная карта реанимации | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Дорожная карта реанимации,
2026-09-21,10,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Новичок,Бесплатные звонки с карт: как включить,Клиенты ищут тебя на карте прямо сейчас. Находят конкурента.,"С2: Карточка на 100%: фото, цены, часы, акции  |  С3: Отзывы: сам попроси довольного клиента  |  С4: Ответ на негатив = витрина для будущих  |  С5: Возвратный клиент с карт в 13-18х дешевле (Calltouch) | Слайд 6: Чек-лист карточки в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Чек-лист карточки в боте,
2026-09-23,10,Карусель,ДЫРЫ,ДО/ПОСЛЕ,Хаотик,Карточка-призрак vs карточка-продавец,Две карточки. Одна молчит. Вторая приносит звонки.,"С2: ДО: 2 фото, нет цен, отзыв 2022 года  |  С3: Заполняем на 100% + свежие отзывы  |  С4: ПОСЛЕ: карточка отвечает на вопросы до звонка  |  С5: Проверь свою: чек-лист из 12 пунктов | Слайд 6: Чек-лист «Карточка на 100%» | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Чек-лист «Карточка на 100%»,
2026-09-25,10,Карусель,РОСТ,ИСТОРИЯ,Новичок,Локальный бизнес без рекламного бюджета,Ноль рублей на рекламу. Очередь из карт и отзывов.,"С2: Кафе у дома: бюджета нет вообще  |  С3: Карты + бот-сборщик отзывов  |  С4: Каждый довольный гость = отзыв  |  С5: Механика воспроизводима: связка В | Слайд 6: Связка «Карты и отзывы» | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Связка «Карты и отзывы»,
2026-09-28,11,Карусель,СЛИВ,МИФОБОРЕЦ,Разочарованный,"5 фраз агентства, которые означают «мы не умеем»","«Рынок сложный, нужен бюджет побольше». Переводим с агентского.","С2: «Нужно время» = нет гипотез  |  С3: «Охваты растут» = продаж нет  |  С4: «Добавьте бюджет» = не считаем юнит  |  С5: Проси 3 цифры: заявки, цена, продажи | Слайд 6: Гайд-детектор подрядчика | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Гайд-детектор подрядчика,
2026-09-30,11,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Разочарованный,3 вопроса подрядчику до договора,Один разговор до договора экономит 300К после.,"С2: В1: какую цифру улучшите за 30 дней?  |  С3: В2: как я это увижу без вас?  |  С4: В3: что сделаете, если не выйдет?  |  С5: Ответы мимо - беги | Слайд 6: Полный список вопросов в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Полный список вопросов в боте,
2026-10-02,11,Карусель,ДЫРЫ,ИСТОРИЯ,Разочарованный,Три агентства за год: вскрытие,"800К, три агентства, ноль системы. Разбор без имён.","С2: А1: отчёты красивые, заявок ноль  |  С3: А2: заявки есть, менеджеры не берут трубку  |  С4: А3: всё ок, но клиент дороже маржи  |  С5: Проблема была не в агентствах | Слайд 6: AI-аудит: где дыра у тебя | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",AI-аудит: где дыра у тебя,
2026-10-05,12,Карусель,ФОРМУЛА,ТАЙМЛАЙН,Хаотик,Готовим декабрь в октябре: календарь денег,Декабрьская касса делается в октябре. Уже пора.,"С2: Т-60: оффер и креативы  |  С3: Т-30: прогрев базы и предзаказ  |  С4: Т-14: пик рекламы  |  С5: Т+7: допродажа и сбор отзывов | Слайд 6: Календарь офферов в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Календарь офферов в боте,
2026-10-07,12,Карусель,ДЫРЫ,КАЛЬКУЛЯТОР,Хаотик,Сколько стоит несезон: считаем подушку,Несезон съедает прибыль сезона? Посчитай подушку.,"С2: Средний минус месяца несезона = X  |  С3: Сколько месяцев подушки нужно  |  С4: Продукты несезона: абонементы, предзаказы  |  С5: Сместить спрос: ранняя цена | Слайд 6: Калькулятор подушки | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Калькулятор подушки,
2026-10-09,12,Карусель,РОСТ,ИСТОРИЯ,Масштабатор,"Бизнес, который продаёт зимой летнее",Он продаёт кондиционеры в январе. Дешевле и без очереди.,"С2: Механика ранней цены: скидка за предзаказ  |  С3: Клиент экономит, бизнес получает кассу  |  С4: Рассрочка спроса вместо провала  |  С5: Шаблон предзаказной кампании | Слайд 6: Шаблон кампании в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон кампании в боте,
2026-10-12,13,Карусель,ДЫРЫ,ШОКЕР,Хаотик,"7 каналов, 0 системы: диагноз",Ты «присутствуешь везде». Продаёт нигде.,"С2: Соцсети, карты, сайт, рассылка: всё вполсилы  |  С3: 44% не могут связать сервисы между собой  |  С4: Один канал до результата, потом следующий  |  С5: Минимальный стек: 5 элементов | Слайд 6: Карта стека в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Карта стека в боте,
2026-10-14,13,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Новичок,Минимальный маркетинг-стек для старта,Не нужно 10 инструментов. Нужно 5. Вот они.,"С2: 1: точка захвата (квиз/лендинг)  |  С3: 2: бот-автоответ  |  С4: 3: таблица-CRM  |  С5: 4: карточки на картах  |  С6: 5: один канал контента | Слайд 6: Карта стека: скачай в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Карта стека: скачай в боте,
2026-10-16,13,Карусель,СЛИВ,ТАЙМЛАЙН,Хаотик,Месяц «мы везде»: куда ушли 90К,Месяц активности во всех каналах. Разбор чека.,"С2: Нед 1: 30К таргет без лендинга  |  С3: Нед 2: 20К блогер без ссылки в бот  |  С4: Нед 3-4: SMM «для присутствия»  |  С5: Те же 90К в одну связку: другая картина | Слайд 6: AI-аудит распределения бюджета | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",AI-аудит распределения бюджета,
2026-10-19,14,Карусель,ДЫРЫ,ШОКЕР,Хаотик,"Пока ты «увидел сообщение», клиент купил у другого",Заявка остывает за минуты. Дальше она чужая. [скорость: ГИПОТЕЗА],"С2: Клиент пишет троим сразу  |  С3: Отвечает первый - забирает деньги  |  С4: Ночные заявки умирают до утра  |  С5: Бот отвечает за 30 секунд всегда | Слайд 6: Скрипт первого ответа в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Скрипт первого ответа в боте,
2026-10-21,14,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Новичок,Что писать в первом ответе: скрипт,"«Здравствуйте, чем помочь?» - худший первый ответ.","С2: Сразу: имя + конкретный вопрос по делу  |  С3: Дай выбор из 2 слотов, не «когда удобно»  |  С4: Зафиксируй следующее касание  |  С5: Шаблон под услуги/товары | Слайд 6: Скрипт + SLA-шаблон | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Скрипт + SLA-шаблон,
2026-10-23,14,Карусель,РОСТ,ПЕРЕВЁРНУТЫЙ,Масштабатор,SLA 30 секунд: как это устроено,Ответ за 30 секунд в 3 часа ночи. Без ночной смены.,"С2: Не магия: бот + очередь + дежурный  |  С3: Типовые вопросы закрывает бот  |  С4: Сложное падает менеджеру к утру с контекстом  |  С5: Внедрение за неделю: связка А | Слайд 6: Связка «Квиз-ловушка» | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Связка «Квиз-ловушка»,
2026-10-26,15,Карусель,ДЫРЫ,ДО/ПОСЛЕ,Хаотик,Сайт 2015 года против квиза,Твой сайт - визитка 2015-го. Клиент это чувствует.,"С2: ДО: «О компании» и форма в подвале  |  С3: Клиенту нужен ответ, не история фирмы  |  С4: ПОСЛЕ: один экран, один оффер, квиз  |  С5: Конверсия решается до дизайна | Слайд 6: Чек-лист лендинга в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Чек-лист лендинга в боте,
2026-10-28,15,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Новичок,Лендинг за выходные: что обязательно,Лендинг - это 6 блоков. Остальное - украшения.,"С2: Оффер с цифрой на первом экране  |  С3: Квиз или форма из 1 поля  |  С4: Соцдоказательства: отзывы с именами  |  С5: Ответ за 30 сек после отправки | Слайд 6: Структура лендинга: шаблон | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Структура лендинга: шаблон,
2026-10-30,15,Карусель,СЛИВ,КАЛЬКУЛЯТОР,Разочарованный,Сколько стоит «красивый» сайт без заявок,Сайт за 150К приносит 0 заявок. Считаем убыток.,"С2: 150К сайт + 50К/мес трафик  |  С3: Конверсия 0.5% вместо 3%  |  С4: Разница за год: сотни потерянных заявок  |  С5: Чинится структурой, не редизайном | Слайд 6: Аудит сайта в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Аудит сайта в боте,
2026-11-02,16,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Хаотик,"Зачем бизнесу TG-канал, если есть соцсети",Соцсети дают охват. Телеграм даёт базу. Разница огромна.,"С2: Подписчик канала = твой актив, не алгоритма  |  С3: 50%+ россиян в TG ежедневно (RMAA)  |  С4: Лид из TG на 30-60% дешевле контекста (OneSpot)  |  С5: Канал + бот = дом и касса | Слайд 6: Стартовый набор канала | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Стартовый набор канала,
2026-11-04,16,Карусель,ДЫРЫ,МИФОБОРЕЦ,Новичок,«В телеграме нужен миллион подписчиков» - нет,Каналу бизнеса не нужен миллион. Нужна тысяча правильных.,"С2: 1 000 живых из твоего города > 50К ботов  |  С3: Продаёт доверие, не масштаб  |  С4: Контент: польза + закулисье + оффер  |  С5: Первые 500: клиенты, партнёры, чаты | Слайд 6: План первой 1000 подписчиков | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",План первой 1000 подписчиков,
2026-11-06,16,Карусель,РОСТ,ИСТОРИЯ,Масштабатор,Канал как отдел продаж: механика,Канал на 3 000 приносит заявки стабильнее таргета.,"С2: Прогрев: 80% пользы, 20% оффера  |  С3: Каждый пост ведёт в бот, не в пустоту  |  С4: База не сгорает при блокировках площадок  |  С5: Механика воспроизводима: набор в боте | Слайд 6: Стартовый набор TG-канала | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Стартовый набор TG-канала,
2026-11-09,17,Карусель,ФОРМУЛА,КАЛЬКУЛЯТОР,Масштабатор,"Маркетинг-бюджет от цели, не от остатка",«Сколько тратить на маркетинг?» Формула из трёх строк.,"С2: Цель по выручке - назад к клиентам  |  С3: Клиенты х допустимый CAC = бюджет  |  С4: Сверь с нормой: 3-7% выручки прямые (research)  |  С5: Помесячная раскладка с сезонностью | Слайд 6: Шаблон бюджета в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон бюджета в боте,
2026-11-11,17,Карусель,ДЫРЫ,ШОКЕР,Хаотик,Ты тратишь вдвое больше нормы. Или вдвое меньше,Российский МСБ тратит на маркетинг вдвое больше мировой нормы. Зря.,"С2: Глобальный бенчмарк: 7.7% выручки (Gartner)  |  С3: У нас больше не от продвинутости  |  С4: Причина: потери и отсутствие аналитики  |  С5: Сначала починить утечки, потом наращивать | Слайд 6: AI-аудит утечек | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",AI-аудит утечек,
2026-11-13,17,Карусель,РОСТ,ВОПРОС-ОТВЕТ,Масштабатор,Что режут первым в 2027 - и что нельзя,Все режут бюджеты. Умные режут правильные строки.,"С2: Режут: имидж, эксперименты, «присутствие»  |  С3: Держат: CRM, ретеншн, работающие связки  |  С4: НДС 22% и ставка: режим тихого бизнеса  |  С5: Чек: каждая строка бюджета к цифре | Слайд 6: Шаблон бюджета на год | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон бюджета на год,
2026-11-16,18,Карусель,ДЫРЫ,ШОКЕР,Новичок,Один негативный отзыв против твоего молчания,У конкурента 200 отзывов. У тебя 12. Клиент выбрал.,"С2: Отзывы читают до звонка  |  С3: Молчание = страшнее негатива  |  С4: Довольные молчат, пока не попросишь  |  С5: Система: просьба в момент счастья | Слайд 6: Сценарий бота-сборщика | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Сценарий бота-сборщика,
2026-11-18,18,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Хаотик,"Как просить отзыв, чтобы давали","«Оставьте отзыв, пожалуйста» не работает. Работает это.","С2: Момент: сразу после «спасибо»  |  С3: Формат: 2 клика, не сочинение  |  С4: Взамен: маленький бонус к следующему визиту  |  С5: Ответ на негатив: скрипт без оправданий | Слайд 6: Скрипты в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Скрипты в боте,
2026-11-20,18,Карусель,РОСТ,ИСТОРИЯ,Новичок,100 отзывов за квартал: механика,Каждый пятый довольный клиент оставил отзыв. Вот почему.,"С2: Просьба встроена в выдачу заказа  |  С3: QR на стойке + бот в 2 клика  |  С4: Негатив перехватывается до публикации  |  С5: Механика воспроизводима: связка В | Слайд 6: Связка «Карты и отзывы» | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Связка «Карты и отзывы»,
2026-11-23,19,Карусель,ДЫРЫ,МИФОБОРЕЦ,Масштабатор,CRM провалилась? Дело не в программе,Половина внедрений CRM умирает. Убийца всегда один.,"С2: 50%+ проектов CRM проваливаются (KT-Team)  |  С3: Причина 1: саботаж («цифровой ГУЛАГ»)  |  С4: Причина 2: собственник сам не заходит  |  С5: Внедрение = процесс людей, не софта | Слайд 6: План внедрения без саботажа | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",План внедрения без саботажа,
2026-11-25,19,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Хаотик,CRM за неделю: минимальный контур,CRM - это не «Битрикс за 300К». Это дисциплина за неделю.,"С2: День 1-2: поля и статусы (не больше 7)  |  С3: День 3-4: перенос живых сделок  |  С4: День 5: правило «нет в CRM = нет сделки»  |  С5: Даже таблица работает, если есть правило | Слайд 6: Мини-продукт «CRM за неделю» | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Мини-продукт «CRM за неделю»,
